CLASS_NAME	PERSON_FULL_NAME	BEGIN_HH_TIME	SECTION_END_DATE	AVAIL_SEAT	DAY_CODE	BLDG_CODE	BEGIN_MM_TIME	FK_CDI_INSTR_TYPE	FK_SPM_SPCL_MTG_CD	COUNT_ON_WAITLIST	END_HH_TIME	PRIMARY_INSTR_FLAG	LONG_DESC	END_MM_TIME	SECTION_START_DATE	STP_ENRLT_FLAG	SCTN_ENRLT_QTY	START_DATE	ROOM_CODE	SECTION_NUMBER	SECT_CODE	BEFORE_DESC	SCTN_CPCTY_QTY	FK_SST_SCTN_STATCD
ANTH 296	Algaze, Guillermo	0	2018-03-16	9999	 	TBA	0	TU	TBA	0	0	Y	                              	0	2018-01-08	N	0	 	TBA	923561	001	 	9999	AC	
ANTH 296	Braswell, Geoffrey E.	0	2018-03-16	9999	 	TBA	0	TU	TBA	0	0	Y	                              	0	2018-01-08	N	0	 	TBA	923562	002	 	9999	AC	
ANTH 296	Brenner, Suzanne A	0	2018-03-16	9999	 	TBA	0	TU	TBA	0	0	Y	                              	0	2018-01-08	N	0	 	TBA	923563	003	 	9999	AC	
ANTH 296	Csordas, Thomas J.	0	2018-03-16	9999	 	TBA	0	TU	TBA	0	0	Y	                              	0	2018-01-08	N	0	 	TBA	923564	004	 	9999	AC	
ANTH 296	D'Alpoim Guedes, Jade A	0	2018-03-16	9999	 	TBA	0	TU	TBA	0	0	Y	                              	0	2018-01-08	N	0	 	TBA	923565	005	 	9999	AC	
ANTH 296	Gagneux, Pascal	0	2018-03-16	9999	 	TBA	0	TU	TBA	0	0	Y	                              	0	2018-01-08	N	0	 	TBA	923566	006	 	9999	AC	
ANTH 296	Goldstein, Paul S	0	2018-03-16	9999	 	TBA	0	TU	TBA	0	0	Y	                              	0	2018-01-08	N	0	 	TBA	923567	007	 	9999	AC	
ANTH 296	Hankins, Joseph D.	0	2018-03-16	9999	 	TBA	0	TU	TBA	0	0	Y	                              	0	2018-01-08	N	0	 	TBA	923568	008	 	9999	AC	
ANTH 296	Haviland, John B.	0	2018-03-16	9999	 	TBA	0	TU	TBA	0	0	Y	                              	0	2018-01-08	N	0	 	TBA	923569	009	 	9999	AC	
ANTH 296	Jenkins, Janis A.	0	2018-03-16	9999	 	TBA	0	TU	TBA	0	0	Y	                              	0	2018-01-08	N	0	 	TBA	923570	010	 	9999	AC	
ANTH 296	Levy, Thomas E	0	2018-03-16	9999	 	TBA	0	TU	TBA	0	0	Y	                              	0	2018-01-08	N	0	 	TBA	923571	011	 	9999	AC	
ANTH 296	Non, Amy L	0	2018-03-16	9999	 	TBA	0	TU	TBA	0	0	Y	                              	0	2018-01-08	N	0	 	TBA	923572	012	 	9999	AC	
ANTH 296	Parish, Steven Martin	0	2018-03-16	9999	 	TBA	0	TU	TBA	0	0	Y	                              	0	2018-01-08	N	0	 	TBA	923573	013	 	9999	AC	
ANTH 296	Pedersen, David	0	2018-03-16	9999	 	TBA	0	TU	TBA	0	0	Y	                              	0	2018-01-08	N	0	 	TBA	923574	014	 	9999	AC	
ANTH 296	Postero, Nancy Grey	0	2018-03-16	9999	 	TBA	0	TU	TBA	0	0	Y	                              	0	2018-01-08	N	0	 	TBA	923575	015	 	9999	AC	
ANTH 296	Schoeninger, Margaret J	0	2018-03-16	9999	 	TBA	0	TU	TBA	0	0	Y	                              	0	2018-01-08	N	0	 	TBA	923576	016	 	9999	AC	
ANTH 296	Semendeferi, Ekaterini	0	2018-03-16	9999	 	TBA	0	TU	TBA	0	0	Y	                              	0	2018-01-08	N	0	 	TBA	923577	017	 	9999	AC	
ANTH 296	Strum, Shirley C.	0	2018-03-16	9999	 	TBA	0	TU	TBA	0	0	Y	                              	0	2018-01-08	N	0	 	TBA	923578	018	 	9999	AC	
ANTH 296	Woolard, Kathryn A	0	2018-03-16	9999	 	TBA	0	TU	TBA	0	0	Y	                              	0	2018-01-08	N	0	 	TBA	923579	019	 	9999	AC	
ANTH 296	D'Alpoim Guedes, Jade A	0	2018-03-16	9999	 	TBA	0	TU	TBA	0	0	Y	                              	0	2018-01-08	N	0	 	TBA	923580	020	 	9999	AC	
ANTH 297	Algaze, Guillermo	0	2018-03-16	9999	 	TBA	0	TU	TBA	0	0	Y	                              	0	2018-01-08	N	0	 	TBA	923581	001	 	9999	AC	
ANTH 297	Braswell, Geoffrey E.	0	2018-03-16	9999	 	TBA	0	TU	TBA	0	0	Y	                              	0	2018-01-08	N	0	 	TBA	923582	002	 	9999	AC	
ANTH 297	Brenner, Suzanne A	0	2018-03-16	9999	 	TBA	0	TU	TBA	0	0	Y	                              	0	2018-01-08	N	0	 	TBA	923583	003	 	9999	AC	
ANTH 297	Csordas, Thomas J.	0	2018-03-16	9999	 	TBA	0	TU	TBA	0	0	Y	                              	0	2018-01-08	N	0	 	TBA	923584	004	 	9999	AC	
ANTH 297	D'Alpoim Guedes, Jade A	0	2018-03-16	9999	 	TBA	0	TU	TBA	0	0	Y	                              	0	2018-01-08	N	0	 	TBA	923585	005	 	9999	AC	
ANTH 297	Gagneux, Pascal	0	2018-03-16	9999	 	TBA	0	TU	TBA	0	0	Y	                              	0	2018-01-08	N	0	 	TBA	923586	006	 	9999	AC	
ANTH 297	Goldstein, Paul S	0	2018-03-16	9999	 	TBA	0	TU	TBA	0	0	Y	                              	0	2018-01-08	N	0	 	TBA	923587	007	 	9999	AC	
ANTH 297	Hankins, Joseph D.	0	2018-03-16	9999	 	TBA	0	TU	TBA	0	0	Y	                              	0	2018-01-08	N	0	 	TBA	923588	008	 	9999	AC	
ANTH 297	Haviland, John B.	0	2018-03-16	9999	 	TBA	0	TU	TBA	0	0	Y	                              	0	2018-01-08	N	0	 	TBA	923589	009	 	9999	AC	
ANTH 297	Jenkins, Janis A.	0	2018-03-16	9999	 	TBA	0	TU	TBA	0	0	Y	                              	0	2018-01-08	N	0	 	TBA	923590	010	 	9999	AC	
ANTH 297	Levy, Thomas E	0	2018-03-16	9999	 	TBA	0	TU	TBA	0	0	Y	                              	0	2018-01-08	N	0	 	TBA	923591	011	 	9999	AC	
ANTH 297	Non, Amy L	0	2018-03-16	9999	 	TBA	0	TU	TBA	0	0	Y	                              	0	2018-01-08	N	0	 	TBA	923592	012	 	9999	AC	
ANTH 297	Parish, Steven Martin	0	2018-03-16	9999	 	TBA	0	TU	TBA	0	0	Y	                              	0	2018-01-08	N	0	 	TBA	923593	013	 	9999	AC	
ANTH 297	Pedersen, David	0	2018-03-16	9999	 	TBA	0	TU	TBA	0	0	Y	                              	0	2018-01-08	N	0	 	TBA	923594	014	 	9999	AC	
ANTH 297	Postero, Nancy Grey	0	2018-03-16	9999	 	TBA	0	TU	TBA	0	0	Y	                              	0	2018-01-08	N	0	 	TBA	923595	015	 	9999	AC	
ANTH 297	Schoeninger, Margaret J	0	2018-03-16	9999	 	TBA	0	TU	TBA	0	0	Y	                              	0	2018-01-08	N	0	 	TBA	923596	016	 	9999	AC	
ANTH 297	Semendeferi, Ekaterini	0	2018-03-16	9999	 	TBA	0	TU	TBA	0	0	Y	                              	0	2018-01-08	N	0	 	TBA	923597	017	 	9999	AC	
ANTH 297	Strum, Shirley C.	0	2018-03-16	9999	 	TBA	0	TU	TBA	0	0	Y	                              	0	2018-01-08	N	0	 	TBA	923598	018	 	9999	AC	
ANTH 297	Woolard, Kathryn A	0	2018-03-16	9999	 	TBA	0	TU	TBA	0	0	Y	                              	0	2018-01-08	N	0	 	TBA	923599	019	 	9999	AC	
ANTH 297	D'Alpoim Guedes, Jade A	0	2018-03-16	9999	 	TBA	0	TU	TBA	0	0	Y	                              	0	2018-01-08	N	0	 	TBA	923600	020	 	9999	AC	
ANTH 298	Algaze, Guillermo	0	2018-03-16	9999	 	TBA	0	TU	TBA	0	0	Y	                              	0	2018-01-08	N	0	 	TBA	923601	001	 	9999	AC	
ANTH 298	Braswell, Geoffrey E.	0	2018-03-16	9999	 	TBA	0	TU	TBA	0	0	Y	                              	0	2018-01-08	N	0	 	TBA	923602	002	 	9999	AC	
ANTH 298	Brenner, Suzanne A	0	2018-03-16	9999	 	TBA	0	TU	TBA	0	0	Y	                              	0	2018-01-08	N	0	 	TBA	923603	003	 	9999	AC	
ANTH 298	Csordas, Thomas J.	0	2018-03-16	9999	 	TBA	0	TU	TBA	0	0	Y	                              	0	2018-01-08	N	0	 	TBA	923604	004	 	9999	AC	
ANTH 298	D'Alpoim Guedes, Jade A	0	2018-03-16	9999	 	TBA	0	TU	TBA	0	0	Y	                              	0	2018-01-08	N	0	 	TBA	923605	005	 	9999	AC	
ANTH 298	Gagneux, Pascal	0	2018-03-16	9999	 	TBA	0	TU	TBA	0	0	Y	                              	0	2018-01-08	N	0	 	TBA	923606	006	 	9999	AC	
ANTH 298	Goldstein, Paul S	0	2018-03-16	9999	 	TBA	0	TU	TBA	0	0	Y	                              	0	2018-01-08	N	0	 	TBA	923607	007	 	9999	AC	
ANTH 298	Hankins, Joseph D.	0	2018-03-16	9999	 	TBA	0	TU	TBA	0	0	Y	                              	0	2018-01-08	N	0	 	TBA	923608	008	 	9999	AC	
ANTH 298	Haviland, John B.	0	2018-03-16	9999	 	TBA	0	TU	TBA	0	0	Y	                              	0	2018-01-08	N	0	 	TBA	923609	009	 	9999	AC	
ANTH 298	Jenkins, Janis A.	0	2018-03-16	9999	 	TBA	0	TU	TBA	0	0	Y	                              	0	2018-01-08	N	0	 	TBA	923610	010	 	9999	AC	
ANTH 298	Levy, Thomas E	0	2018-03-16	9999	 	TBA	0	TU	TBA	0	0	Y	                              	0	2018-01-08	N	0	 	TBA	923611	011	 	9999	AC	
ANTH 298	Non, Amy L	0	2018-03-16	9999	 	TBA	0	TU	TBA	0	0	Y	                              	0	2018-01-08	N	0	 	TBA	923612	012	 	9999	AC	
ANTH 298	Parish, Steven Martin	0	2018-03-16	9999	 	TBA	0	TU	TBA	0	0	Y	                              	0	2018-01-08	N	0	 	TBA	923613	013	 	9999	AC	
ANTH 298	Pedersen, David	0	2018-03-16	9999	 	TBA	0	TU	TBA	0	0	Y	                              	0	2018-01-08	N	0	 	TBA	923614	014	 	9999	AC	
ANTH 298	Postero, Nancy Grey	0	2018-03-16	9999	 	TBA	0	TU	TBA	0	0	Y	                              	0	2018-01-08	N	0	 	TBA	923615	015	 	9999	AC	
ANTH 298	Schoeninger, Margaret J	0	2018-03-16	9999	 	TBA	0	TU	TBA	0	0	Y	                              	0	2018-01-08	N	0	 	TBA	923616	016	 	9999	AC	
ANTH 298	Semendeferi, Ekaterini	0	2018-03-16	9999	 	TBA	0	TU	TBA	0	0	Y	                              	0	2018-01-08	N	0	 	TBA	923617	017	 	9999	AC	
ANTH 298	Strum, Shirley C.	0	2018-03-16	9999	 	TBA	0	TU	TBA	0	0	Y	                              	0	2018-01-08	N	0	 	TBA	923618	018	 	9999	AC	
ANTH 298	Woolard, Kathryn A	0	2018-03-16	9999	 	TBA	0	TU	TBA	0	0	Y	                              	0	2018-01-08	N	0	 	TBA	923619	019	 	9999	AC	
ANTH 298	D'Alpoim Guedes, Jade A	0	2018-03-16	9999	 	TBA	0	TU	TBA	0	0	Y	                              	0	2018-01-08	N	0	 	TBA	923620	020	 	9999	AC	
ANTH 299	Algaze, Guillermo	0	2018-03-16	9999	 	TBA	0	IN	TBA	0	0	Y	                              	0	2018-01-08	N	0	 	TBA	923621	001	 	9999	AC	
ANTH 299	Braswell, Geoffrey E.	0	2018-03-16	9999	 	TBA	0	IN	TBA	0	0	Y	                              	0	2018-01-08	N	0	 	TBA	923622	002	 	9999	AC	
ANTH 299	Brenner, Suzanne A	0	2018-03-16	9999	 	TBA	0	IN	TBA	0	0	Y	                              	0	2018-01-08	N	0	 	TBA	923623	003	 	9999	AC	
ANTH 299	Csordas, Thomas J.	0	2018-03-16	9999	 	TBA	0	IN	TBA	0	0	Y	                              	0	2018-01-08	N	0	 	TBA	923624	004	 	9999	AC	
ANTH 299	D'Alpoim Guedes, Jade A	0	2018-03-16	9999	 	TBA	0	IN	TBA	0	0	Y	                              	0	2018-01-08	N	0	 	TBA	923625	005	 	9999	AC	
ANTH 299	Gagneux, Pascal	0	2018-03-16	9999	 	TBA	0	IN	TBA	0	0	Y	                              	0	2018-01-08	N	0	 	TBA	923626	006	 	9999	AC	
ANTH 299	Goldstein, Paul S	0	2018-03-16	9999	 	TBA	0	IN	TBA	0	0	Y	                              	0	2018-01-08	N	0	 	TBA	923627	007	 	9999	AC	
ANTH 299	Hankins, Joseph D.	0	2018-03-16	9999	 	TBA	0	IN	TBA	0	0	Y	                              	0	2018-01-08	N	0	 	TBA	923628	008	 	9999	AC	
ANTH 299	Haviland, John B.	0	2018-03-16	9999	 	TBA	0	IN	TBA	0	0	Y	                              	0	2018-01-08	N	0	 	TBA	923629	009	 	9999	AC	
ANTH 299	Jenkins, Janis A.	0	2018-03-16	9999	 	TBA	0	IN	TBA	0	0	Y	                              	0	2018-01-08	N	0	 	TBA	923630	010	 	9999	AC	
ANTH 299	Levy, Thomas E	0	2018-03-16	9999	 	TBA	0	IN	TBA	0	0	Y	                              	0	2018-01-08	N	0	 	TBA	923631	011	 	9999	AC	
ANTH 299	Non, Amy L	0	2018-03-16	9999	 	TBA	0	IN	TBA	0	0	Y	                              	0	2018-01-08	N	0	 	TBA	923632	012	 	9999	AC	
ANTH 299	Parish, Steven Martin	0	2018-03-16	9999	 	TBA	0	IN	TBA	0	0	Y	                              	0	2018-01-08	N	0	 	TBA	923633	013	 	9999	AC	
